cost,description,education_plan,entry_level,estimated_duration,long_title,reviews,skills,title,url
Бесплатный курс,"Rust — мультипарадигменный компилируемый язык программирования общего назначения
","1. Привет, Мир!",Базовый,0 часов,Rust для начинающих,,,Rust,https://code-basics.com/ru/languages/rust
Бесплатный курс,"Си — универсальный язык программирования с компактным способом записи выражений, современными механизмами управления структурами данных и богатым набором операторов.
","1. Привет, Мир!,2. Переменные и циклы в Си,3. Тип float,4. Цикл for,5. Функции в Си,6. Условие if/else,7. Switch вместо if/else",Базовый,1 час,C для начинающих,,,C,https://code-basics.com/ru/languages/clang
Бесплатный курс,"Фортра́н — первый язык программирования высокого уровня, получивший практическое применение. Создан в период с 1954 по 1957. Название Fortran является сокращением от FORmula TRANslator (формульный транслятор). Фортран широко используется в первую очередь для научных и инженерных вычислений
","1. Привет, Мир!",Базовый,0 часов,Fortran для начинающих,,,Fortran,https://code-basics.com/ru/languages/fortran
Бесплатный курс,"Go — язык общего назначения с широкими возможностями и понятным синтаксисом. Мультиплатформенный, обладает надежной, хорошо документированной стандартной библиотекой и ориентирован на удобные подходы к самой разработке
","1. Привет, Мир!,2. Разбор Hello World,3. Go, Go, Go,4. Переменные,5. Функции,6. Математика и числа,7. Логический тип,8. Строки,9. Условные конструкции,10. Альтернативная условная конструкция,11. Структуры,12. Константы,13. Массивы,14. Слайсы,15. Цикл for,16. Копирование слайсов,17. Сортировка слайсов,18. Мапа,19. Обход мапы,20. Строки и байты,21. Обход строки,22. Руны,23. Стандартный пакет strings,24. Форматирование строк,25. Вариативные функции,26. Аргументы с указателем,27. Методы структур,28. Пользовательские типы и методы,29. Ошибки,30. Обработка ошибок,31. Отложенные функции,32. Введение в конкурентность,33. Горутины,34. Каналы",Средний,9 часов,Go как второй язык,,,Go,https://code-basics.com/ru/languages/go
Бесплатный курс,"Swift — открытый мультипарадигмальный компилируемый язык программирования общего назначения. Создан компанией Apple в первую очередь для разработчиков iOS и macOS
","1. Привет, Мир!",Базовый,0 часов,Swift для начинающих,,,Swift,https://code-basics.com/ru/languages/swift
Бесплатный курс,"В современной разработке, TypeScript не просто занял прочное место, но и во многих местах заменил собой JavaScript. Знание TypeScript стало необходимым знанием любого разработчика, который работает либо с Node.js либо с браузером
","1. Привет, Мир!,2. TypeScript,3. Переменные,4. Именованные функции,5. Анонимные функции,6. Массивы,7. Объектные типы (Object Types),8. Перечисления (Enums),9. Псевдонимы Типов (Type Aliases),10. Тип Any,11. Система модулей,12. Функции как параметры,13. Опциональные параметры в колбеках,14. Тип Void,15. Тип never (возврат из функции),16. Тип unknown,17. Деструктуризация,18. Rest и Spread,19. Перегрузка функций (Function Overloads),20. Narrowing,21. Аннотации типов,22. Многомерные массивы,23. Массивы только для чтения,24. Кортежи (Tuples),25. Типы как множества,26. Объединения (Union Types),27. Null и Undefined,28. Литералы (Literal Types),29. Пересечение (Intersections Types),30. Присвоение значения,31. Иерархия типов,32. Структурная типизация,33. Ковариантность и контрвариантность,34. Классы,35. Классы как типы,36. Защита свойств и методов,37. Свойства параметров,38. Наследование,39. Статические свойства и методы,40. Об интерфейсах,41. Использование интерфейсов,42. Реализация интерфейсов классами,43. Интерфейсы в других языках,44. Введение в дженерики,45. Дженерики (Типы),46. Дженерики (Функции),47. Дженерики с несколькими параметрами,48. Асинхронные функции,49. Дженерики на классах,50. Динамические ключи (Index Signature),51. Записи (Record),52. Тип object,53. Расширение объектных типов,54. Динамические ключи (Index Signature),55. Динамические ключи (Index Signature),56. Преобразования типов",Средний,18 часов,TypeScript как второй язык,,,TypeScript,https://code-basics.com/ru/languages/typescript
Бесплатный курс,"Kotlin (Ко́тлин) — статически типизированный, объектно-ориентированный язык программирования, работающий поверх Java Virtual Machine
","1. Привет, Мир!,2. Комментарии,3. Инструкции (Statements),4. Как мы проверяем ваши решения,5. Синтаксические ошибки,6. Арифметические операции,7. Операторы,8. Коммутативная операция,9. Композиция операций,10. Приоритет операций,11. Числа с плавающей точкой,12. Линтер,13. Кавычки,14. Экранирующие последовательности,15. Конкатенация",Базовый,3 часа,Kotlin для начинающих,,,Kotlin,https://code-basics.com/ru/languages/kotlin
Бесплатный курс,"Haskell — стандартизированный чистый функциональный язык программирования общего назначения. Основная управляющая структура — это функция. Отличительная черта — серьёзное отношение к типизации
","1. Привет, Мир!,2. Второй язык программирования",Средний,0 часов,Haskell как второй язык,,,Haskell,https://code-basics.com/ru/languages/haskell
Бесплатный курс,"Эликсир — язык программирования, работающий поверх Erlang. Как Erlang, это — функциональный язык со строгими вычислениями, однократным присвоением и динамической типизацией, созданный, чтобы поддерживать распределенные, отказоустойчивые, безостановочные приложения с горячей заменой кода
","1. Привет, Мир!,2. Модули,3. Функции в Elixir,4. Строки,5. Арифметика,6. Логика,7. Атомы и кортежи,8. Списки,9. Словари,10. Сопоставление с образцом (Pattern Matching),11. Сопоставление с образцом для словарей,12. Конструкция case,13. Конструкция cond,14. Тело функции (function clause),15. Оператор pipe,16. Рекурсия,17. Рекурсивные функции с аккумуляторами,18. Неизменяемые структуры данных,19. Отображение,20. Фильтр,21. Свертка,22. Компрехеншен",Средний,7 часов,Elixir как второй язык,,,Elixir,https://code-basics.com/ru/languages/elixir
Бесплатный курс,"Изучение программирования — непростой и длительный процесс. Изучение синтаксиса языка — самая простая и короткая часть в пути, но без неё невозможно начать. Этот курс посвящен азам написания программ на Python. Он готовит плацдарм для написания осмысленных программ
","1. Привет, Мир!,2. Комментарии,3. Инструкции (Statements),4. Как мы проверяем ваши решения,5. Синтаксические ошибки,6. Арифметические операции,7. Операторы,8. Коммутативная операция,9. Композиция операций,10. Приоритет,11. Числа с плавающей точкой,12. Линтер,13. Кавычки,14. Экранированные последовательности,15. Конкатенация,16. Кодировка,17. Что такое переменная,18. Изменение переменной,19. Выбор имени переменной,20. Ошибки при работе с переменными,21. Выражения в определениях,22. Переменные и конкатенация,23. Именование переменных,24. Магические числа,25. Константы,26. Интерполяция,27. Извлечение символов из строки,28. Срезы строк,29. Multi-line строки,30. Типы данных,31. Сильная (или Строгая) типизация,32. Неизменяемость примитивных типов
,33. Явное преобразование типов,34. Функции и их вызов,35. Сигнатура функции,36. Аргументы по умолчанию,37. Вызов функции — выражение,38. Функции с переменным числом параметров,39. Детерминированность,40. Стандартная библиотека,41. Объекты,42. Неизменяемость,43. Методы как выражения,44. Цепочка вызовов,45. Создание (определение) функций,46. Возврат значений,47. Параметры функций,48. Необязательные параметры функций,49. Именованные аргументы,50. Логический тип,51. Предикаты,52. Комбинирование операций и функций,53. Логические операторы,54. Отрицание,55. Результат логических выражений,56. Условная конструкция (if),57. else,58. Конструкция else + if = elif,59. Тернарный оператор,60. Цикл While,61. Агрегация данных (Числа),62. Агрегация данных (Строки),63. Обход строк,64. Условия внутри тела цикла,65. Формирование строк в циклах,66. Пограничные случаи,67. Синтаксический сахар,68. Возврат из циклов,69. Цикл For",Базовый,24 часа,Python для начинающих,,,Python,https://code-basics.com/ru/languages/python
